"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.152672292E0,-1.610351257E1,2.186054077E0,7.064559174E0,1.772032579E1
2.162657292E0,-1.631397491E1,2.291584625E0,7.264243927E0,1.800462100E1
2.172642292E0,-1.725476852E1,2.789598999E0,7.444918213E0,1.899830799E1
2.182627292E0,-1.819690933E1,3.734583893E0,8.032596130E0,2.023850851E1
2.192613292E0,-1.897005157E1,3.871698761E0,9.654473419E0,2.163473515E1
2.202598292E0,-1.944860641E1,3.322191467E0,1.115076187E1,2.266329054E1
2.212583292E0,-1.924532913E1,2.821333008E0,1.150866760E1,2.260070891E1
2.222568292E0,-1.860511047E1,2.500400391E0,1.112232101E1,2.181990290E1
2.232553292E0,-1.792761932E1,2.170785828E0,1.048479675E1,2.088163807E1
2.242539292E0,-1.650662430E1,1.995799713E0,9.867779846E0,1.933455304E1
2.252524292E0,-1.452474564E1,1.497186584E0,9.404642944E0,1.736827891E1
2.262509292E0,-1.225187210E1,9.394464111E-1,9.013656006E0,1.523932164E1
2.272494292E0,-9.871072998E0,6.605763245E-1,8.481961670E0,1.303142805E1
2.282479292E0,-7.315587158E0,5.665718079E-1,7.683671722E0,1.062438846E1
2.292465292E0,-5.385800171E0,2.983296204E-1,6.633455658E0,8.549770641E0
2.302450292E0,-4.379891968E0,-3.387455750E-1,5.346581726E0,6.919836585E0
2.312435292E0,-4.225712585E0,-1.246607666E0,3.973636780E0,5.932998128E0
2.322420292E0,-4.731361084E0,-1.923350372E0,2.334395599E0,5.615554930E0
2.332405292E0,-5.060526581E0,-2.178120575E0,9.018745422E-1,5.582697932E0
2.342391292E0,-5.735323334E0,-2.198478241E0,3.402424622E-1,6.151666868E0
2.352376292E0,-6.585854645E0,-1.949246521E0,1.622625732E0,7.057333609E0
2.362361292E0,-6.115382996E0,-1.987566833E0,1.087892715E1,1.263722229E1
2.372346292E0,-5.969735870E0,-6.442602539E-1,1.383183655E1,1.507887661E1
2.382331292E0,-8.015082550E0,2.543211365E-1,5.290598145E0,9.607114877E0
2.392317292E0,-1.016625916E1,-1.920955353E0,1.606309662E0,1.047010627E1
2.402302292E0,-1.145522873E1,-3.945345612E0,2.000889130E0,1.227972209E1
2.412287292E0,-1.058778259E1,-3.619024200E0,3.110681305E0,1.161356167E1
2.422272292E0,-8.853339386E0,-3.414399719E0,2.884950714E0,9.917796345E0
2.432257292E0,-6.349196777E0,-3.326233063E0,4.264781342E0,8.340532717E0
2.442243292E0,-5.194048920E0,-2.584675140E0,2.068548431E0,6.159349184E0
2.452228292E0,-5.060676270E0,-3.929927673E0,1.221010895E0,6.522702157E0
2.462213292E0,-6.081104279E0,-5.028642883E0,3.411855011E0,8.596966506E0
2.472198292E0,-5.631738739E0,-4.431384888E0,2.503992920E0,7.591023237E0
2.482183292E0,-4.475093994E0,-3.952680359E0,1.550176392E0,6.168727188E0
2.492168292E0,-3.788920898E0,-3.962559814E0,2.113305359E0,5.875700928E0
2.502154292E0,-3.850592651E0,-4.382885742E0,3.088377686E0,6.601123232E0
2.512139292E0,-4.690046997E0,-4.522545319E0,3.801195374E0,7.543145449E0
2.522124292E0,-3.881428528E0,-4.057612152E0,3.246598663E0,6.486147291E0
2.532109292E0,-3.050955505E0,-3.452420654E0,2.827021179E0,5.405514464E0
2.542094292E0,-2.644999695E-1,-2.119891663E0,3.299438782E0,3.930673882E0
2.552080292E0,1.691632233E0,-1.416055298E0,3.550766144E0,4.180283773E0
2.562064958E0,1.678160248E0,-1.994153137E0,3.665577393E0,4.497702322E0
2.572049958E0,-4.029620361E-1,-3.849095764E0,3.179837494E0,5.008920352E0
2.582034958E0,-3.628304901E0,-6.740782471E0,4.802014160E-1,7.670289315E0
2.592019958E0,-5.607788544E0,-9.893226929E0,-6.639892273E0,1.316857626E1
2.602005958E0,-7.676037598E0,-1.137275024E1,-8.390651550E0,1.608303562E1
2.611990958E0,-8.616531830E0,-1.153845566E1,-4.884941711E0,1.520668390E1
2.621975958E0,-1.046339127E1,-1.358170670E1,1.972448273E0,1.725792183E1
2.631960958E0,-1.028151947E1,-1.455977280E1,4.195026398E0,1.831105876E1
2.641945958E0,-1.133368149E1,-1.489806931E1,7.233857117E0,2.006822099E1
2.651931958E0,-1.092802505E1,-1.454914490E1,6.724616089E0,1.939896416E1
2.661916958E0,-8.994196472E0,-1.377136230E1,4.943170624E0,1.717500875E1
2.671901958E0,-7.012168121E0,-1.388407791E1,4.637206879E0,1.623089057E1
2.681886958E0,-5.098846893E0,-1.323906921E1,4.438569946E0,1.486513022E1
2.691871958E0,-4.423152008E0,-1.168919220E1,3.026406555E0,1.285926221E1
2.701857958E0,-3.613485718E0,-9.996512146E0,1.332678680E0,1.071277586E1
2.711842958E0,-2.370769958E0,-8.170160065E0,1.365011444E0,8.615992219E0
2.721827958E0,-1.110839996E0,-7.528743896E0,2.383643188E0,7.974816926E0
2.731812958E0,-1.817071381E0,-6.801855469E0,2.478695526E0,7.463974660E0
2.741797958E0,-2.290985870E0,-6.646029510E0,3.212170258E0,7.728930216E0
2.751783958E0,-1.956431580E0,-6.707252197E0,2.618654480E0,7.461381095E0
2.761768958E0,-1.159339142E0,-7.317383423E0,1.762285309E0,7.615367155E0
2.771753958E0,-9.190887451E-2,-8.280630341E0,1.138831787E0,8.359080327E0
