"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.275580083E0,7.497608643E0,-6.067781982E0,1.261875916E-1,9.646141034E0
2.285565083E0,7.582631836E0,-6.722670135E0,8.068222046E-2,1.013395821E1
2.295550083E0,7.687863007E0,-7.144343262E0,1.258882141E-1,1.049574800E1
2.305536083E0,7.898325348E0,-7.319029999E0,2.269281006E-1,1.077048002E1
2.315521083E0,8.248746643E0,-7.211703186E0,3.293151855E-1,1.096170299E1
2.325506083E0,8.676557007E0,-6.907535706E0,6.032455444E-1,1.110678154E1
2.335491083E0,9.047934723E0,-6.605314178E0,1.048569489E0,1.125143529E1
2.345475833E0,9.318422241E0,-6.478228455E0,1.488654327E0,1.144624518E1
2.355460833E0,9.519603882E0,-6.425238647E0,1.883982239E0,1.163855398E1
2.365445833E0,9.675579529E0,-6.316414948E0,2.271975403E0,1.177606935E1
2.375430833E0,9.654473419E0,-6.162385254E0,2.564916229E0,1.173723325E1
2.385415833E0,9.608518982E0,-6.000871124E0,2.814147949E0,1.167276831E1
2.395400833E0,9.461674347E0,-5.851032715E0,2.924767914E0,1.150270110E1
2.405385833E0,9.144184570E0,-5.761219482E0,2.808759155E0,1.116677614E1
2.415370833E0,8.748407593E0,-5.733377380E0,2.526895294E0,1.076064363E1
2.425355833E0,8.295000458E0,-5.818101196E0,2.096240845E0,1.034657237E1
2.435340833E0,7.940687256E0,-5.911207581E0,1.716929626E0,1.004712578E1
2.445325833E0,7.736212463E0,-5.989494781E0,1.474134521E0,9.894245985E0
2.455310833E0,7.580835571E0,-6.057154083E0,1.372046814E0,9.800035510E0
2.465295833E0,7.406298523E0,-6.170318756E0,1.323697357E0,9.730275744E0
2.475280833E0,7.202721863E0,-6.282285919E0,1.260977783E0,9.640351839E0
2.485265833E0,7.061715088E0,-6.412664795E0,1.296304321E0,9.626551545E0
2.495250833E0,6.848558350E0,-6.536307678E0,1.373843079E0,9.566269614E0
2.505235833E0,6.636748810E0,-6.662495270E0,1.425186310E0,9.511384442E0
2.515220833E0,6.405629425E0,-6.734196167E0,1.408421173E0,9.400273217E0
2.525205833E0,6.229445801E0,-6.784641266E0,1.439855804E0,9.322582090E0
2.535190833E0,6.006559296E0,-6.863527222E0,1.538500671E0,9.249526734E0
2.545175833E0,5.730682983E0,-6.939419403E0,1.670077057E0,9.153437960E0
2.555160833E0,5.560187531E0,-6.961872711E0,1.769919434E0,9.083830240E0
2.565145833E0,5.434299316E0,-6.951544189E0,1.851350098E0,9.015712554E0
2.575130833E0,5.412744141E0,-7.004084930E0,1.850302277E0,9.043153397E0
2.585115833E0,5.410947876E0,-7.148983612E0,1.772913208E0,9.139449920E0
2.595100833E0,5.352269897E0,-7.251520386E0,1.650916901E0,9.162798021E0
2.605085833E0,5.464686127E0,-7.382647705E0,1.507664795E0,9.308025287E0
2.615070833E0,5.757177887E0,-7.671846313E0,1.442849579E0,9.699697830E0
2.625055833E0,6.086044006E0,-8.013885040E0,1.463057556E0,1.016871784E1
2.635040833E0,6.481671295E0,-8.192613373E0,1.481020203E0,1.055103774E1
2.645025833E0,6.882687378E0,-8.359216919E0,1.521885223E0,1.093453372E1
2.655010833E0,7.210655365E0,-8.425828400E0,1.541344757E0,1.119660121E1
2.664995833E0,7.458390198E0,-8.352331238E0,1.487606506E0,1.129610528E1
2.674980833E0,8.074209595E0,-8.459059296E0,1.283281403E0,1.176415555E1
2.684965833E0,8.962462463E0,-9.078920288E0,1.002315674E0,1.279676380E1
2.694950833E0,9.384734344E0,-9.994117126E0,9.273216248E-1,1.374101675E1
