"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.688480834E0,3.559148712E0,-1.251248016E0,4.527934113E0,5.893670205E0
1.698518833E0,3.282224579E0,-7.330256653E-1,5.119503937E0,6.125328185E0
1.708556833E0,2.870430908E0,-6.369255066E-1,4.922513580E0,5.733776037E0
1.718594834E0,2.854264526E0,-1.197809143E0,3.989653473E0,5.049644301E0
1.728633833E0,3.071911926E0,-1.617087250E0,2.881208496E0,4.511427319E0
1.738671833E0,2.902164917E0,-1.863474884E0,1.906435547E0,3.940760884E0
1.748709833E0,2.729424133E0,-2.314936066E0,1.555565186E0,3.902366991E0
1.758748833E0,1.941462708E0,-2.684068451E0,1.322948914E0,3.567028837E0
1.768786833E0,2.751278687E-1,-2.978506165E0,7.093748474E-1,3.074151426E0
1.778824833E0,-1.244362335E0,-3.124153290E0,-7.274871826E-2,3.363638473E0
1.788862834E0,-2.520758057E0,-2.990930328E0,-7.541317749E-1,3.983541156E0
1.798901833E0,-3.894601135E0,-2.604583740E0,-1.590891724E0,4.948000701E0
1.808939833E0,-5.004393311E0,-2.099533997E0,-2.203268280E0,5.857165400E0
1.818977833E0,-5.324727173E0,-1.735640717E0,-2.047891388E0,5.963139047E0
1.829015833E0,-5.207071838E0,-1.429527283E0,-1.241069183E0,5.540523270E0
1.839055208E0,-5.069507904E0,-1.142124939E0,-4.649331665E-1,5.217329069E0
1.849093208E0,-4.665797424E0,-8.616082764E-1,-1.646575928E-3,4.744685146E0
1.859131208E0,-3.935017090E0,-6.071374512E-1,2.014810181E-1,3.986674050E0
1.869170208E0,-2.436333618E0,-5.164260864E-2,-4.849914551E-2,2.437363458E0
1.879208209E0,-2.845582581E-1,9.382489014E-1,-8.735833740E-1,1.313176422E0
1.889246208E0,2.158062286E0,2.488275604E0,-1.354084167E0,3.561220612E0
1.899284208E0,4.076622620E0,4.425846405E0,-1.382225647E0,6.173938461E0
1.909323208E0,5.024002533E0,6.011948090E0,-4.869374084E-1,7.849919065E0
1.919361208E0,4.907694397E0,7.324867859E0,2.440375214E0,9.148474443E0
