"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.450579583E0,7.373666382E-1,4.456831970E0,1.051338730E1,1.144283065E1
1.460617583E0,3.555107117E-1,4.032913513E0,9.948462067E0,1.074070187E1
1.470655583E0,8.382568359E-3,3.671115875E0,9.445807343E0,1.013412248E1
1.480693583E0,-2.267784119E-1,3.410956879E0,9.114097137E0,9.734106118E0
1.490732583E0,-2.775228882E-1,3.222199402E0,8.989556122E0,9.553622727E0
1.500770583E0,-1.595681763E-1,3.124003601E0,9.121731262E0,9.643175915E0
1.510808583E0,4.206253052E-2,3.127296753E0,9.410480804E0,9.916597360E0
1.520846583E0,2.653981018E-1,3.216810608E0,9.670340424E0,1.019479232E1
1.530884583E0,4.439767456E-1,3.283721466E0,9.774374084E0,1.032077181E1
1.540923583E0,4.649331665E-1,3.316353607E0,9.623338165E0,1.018935727E1
1.550961583E0,3.228785706E-1,3.411855011E0,9.303752747E0,9.914878736E0
1.561000125E0,1.604663086E-1,3.611839142E0,8.854836273E0,9.564478911E0
1.571038125E0,-1.886077881E-2,3.801195374E0,8.362659760E0,9.186050307E0
1.581077125E0,-2.275268555E-1,3.926484833E0,7.770491180E0,8.709166711E0
1.591115125E0,-5.267546082E-1,4.029770050E0,7.165299683E0,8.237598959E0
1.601153125E0,-8.557704163E-1,4.159101105E0,6.690187683E0,7.923955845E0
1.611191125E0,-1.193019104E0,4.310137024E0,6.427933044E0,7.830638478E0
1.621229125E0,-1.395547943E0,4.473148041E0,6.365662537E0,7.904319514E0
1.631268125E0,-1.460662537E0,4.649181976E0,6.460116119E0,8.092065767E0
1.641306125E0,-1.452279968E0,4.785398712E0,6.523284760E0,8.219635150E0
1.651344125E0,-1.370549927E0,4.868026886E0,6.540349274E0,8.267542651E0
1.661382125E0,-1.327888641E0,4.894372101E0,6.524182892E0,8.263360631E0
1.671421125E0,-1.338516541E0,4.946014709E0,6.480773163E0,8.261665015E0
1.681459125E0,-1.340911560E0,5.034480743E0,6.441255341E0,8.284552524E0
1.691497125E0,-1.274749146E0,5.158572693E0,6.528823242E0,8.417920797E0
1.701535125E0,-1.167272644E0,5.266498260E0,6.706503754E0,8.606725391E0
1.711574125E0,-1.044378204E0,5.279670868E0,6.881040802E0,8.735809798E0
1.721612125E0,-8.521778870E-1,5.209466858E0,7.040908356E0,8.799951282E0
1.731650125E0,-6.355783081E-1,5.135820007E0,7.213798828E0,8.878034719E0
1.741688125E0,-4.067042542E-1,5.081333313E0,7.411238251E0,8.995099165E0
1.751726125E0,-2.460882568E-1,4.970563660E0,7.541018372E0,9.035154708E0
1.761765125E0,-2.341131592E-1,4.856500854E0,7.582482147E0,9.007466072E0
1.771803125E0,-3.016227722E-1,4.730462952E0,7.598349152E0,8.955622025E0
1.781841125E0,-2.369572449E-1,4.619393921E0,7.671247559E0,8.957845055E0
1.791879125E0,-1.508862305E-1,4.535568237E0,7.718698883E0,8.953907434E0
1.801918125E0,-1.372645569E-1,4.557123413E0,7.736362152E0,8.979839348E0
1.811956125E0,-9.879455566E-2,4.680616608E0,7.751031647E0,9.055187672E0
1.821994125E0,-1.347198486E-3,4.842879181E0,7.676935730E0,9.076828894E0
1.832032125E0,8.951385498E-2,5.010380859E0,7.587421875E0,9.092903815E0
1.842070125E0,1.784289551E-1,5.137466583E0,7.527247009E0,9.115088992E0
1.852109125E0,2.526745605E-1,5.218597870E0,7.490573273E0,9.132704754E0
1.862147125E0,2.767744446E-1,5.240452423E0,7.482340393E0,9.139166453E0
1.872185125E0,2.667453003E-1,5.239404602E0,7.553292847E0,9.196452929E0
1.882223125E0,2.122586060E-1,5.265899506E0,7.657027130E0,9.295419076E0
1.892262125E0,1.350192261E-1,5.268444214E0,7.742948456E0,9.366321872E0
1.902300125E0,7.694000244E-2,5.303022308E0,7.874973907E0,9.494376199E0
1.912338125E0,7.229965210E-2,5.396428070E0,8.095914459E0,9.729876365E0
1.922376125E0,1.938468933E-1,5.562432861E0,8.318202209E0,1.000853256E1
1.932414125E0,2.959346008E-1,5.643264771E0,8.398884430E0,1.012300717E1
1.942453125E0,2.965333557E-1,5.647456055E0,8.356073456E0,1.008987887E1
1.952491125E0,2.230361938E-1,5.622757416E0,8.201145630E0,9.946051264E0
1.962529125E0,1.896556091E-1,5.632038116E0,8.094118195E0,9.862584445E0
1.972567125E0,1.935475159E-1,5.683680725E0,8.102351074E0,9.898978743E0
1.982606125E0,9.415420532E-2,5.846991119E0,8.101752319E0,9.991724616E0
1.992644125E0,-1.561253357E-1,6.116879883E0,7.970475311E0,1.004833674E1
2.002682125E0,-4.836442566E-1,6.416107635E0,7.707771606E0,1.004042290E1
2.012720125E0,-7.310797119E-1,6.689289551E0,7.414381714E0,1.001269836E1
2.022758125E0,-6.688092041E-1,6.902745667E0,7.165748749E0,9.972119064E0
2.032797125E0,-3.029699707E-1,6.875202942E0,6.971901855E0,9.796306538E0
2.042835125E0,9.669891357E-2,6.613547058E0,6.953789520E0,9.597059136E0
2.052873125E0,3.098556519E-1,6.298751678E0,7.293582916E0,9.641920711E0
2.062911125E0,3.535647583E-1,5.931864624E0,8.083190918E0,1.003244743E1
2.072950125E0,2.643502808E-1,5.519472198E0,9.070238342E0,1.062090759E1
2.082988125E0,-1.362167358E-2,5.145250397E0,1.017060013E1,1.139802150E1
2.093026125E0,-3.860472107E-1,4.873116302E0,1.110720245E1,1.213533029E1
2.103064125E0,-7.970924377E-1,4.593198395E0,1.163560364E1,1.253475568E1
2.113103125E0,-1.285826111E0,4.331392822E0,1.161030624E1,1.245847196E1
2.123141125E0,-1.760489044E0,4.208049316E0,1.104403381E1,1.194896161E1
2.133179125E0,-2.121837616E0,4.289030914E0,1.017778519E1,1.124656803E1
2.143217125E0,-2.260449371E0,4.441414032E0,9.259295197E0,1.051524310E1
2.153255125E0,-2.191592560E0,4.564458160E0,8.382268982E0,9.792843792E0
2.163294125E0,-2.061363373E0,4.625830536E0,7.643555145E0,9.169049152E0
2.173332125E0,-1.890718231E0,4.591551819E0,7.109615479E0,8.672012211E0
2.183370125E0,-1.738784180E0,4.572691040E0,6.843468933E0,8.412249450E0
2.193408125E0,-1.601519623E0,4.516557770E0,6.861431580E0,8.369193660E0
2.203447125E0,-1.440454559E0,4.466262360E0,7.130571899E0,8.536244163E0
2.213485125E0,-1.215622101E0,4.415068817E0,7.664511566E0,8.928342920E0
2.223523125E0,-8.312214661E-1,4.332440643E0,8.370144196E0,9.461515994E0
2.233561125E0,-3.667373657E-1,4.269272003E0,9.104517059E0,1.006247537E1
2.243599125E0,1.246907043E-1,4.269421692E0,9.832153931E0,1.071983024E1
2.253638125E0,5.638774109E-1,4.357588348E0,1.054317535E1,1.142213117E1
2.263676125E0,9.858499146E-1,4.445455627E0,1.120150635E1,1.209163844E1
2.273714125E0,1.284179535E0,4.495751038E0,1.178005325E1,1.267401077E1
2.283752125E0,1.401834869E0,4.460574188E0,1.205592957E1,1.293086620E1
2.293791125E0,1.369801483E0,4.241878967E0,1.193932205E1,1.274430478E1
2.303829125E0,1.082997894E0,3.902834015E0,1.125614273E1,1.196268143E1
2.313867125E0,5.513035583E-1,3.651806030E0,1.019020935E1,1.083881864E1
2.323905125E0,-7.185058594E-2,3.575464783E0,9.087153168E0,9.765524236E0
2.333943125E0,-6.271957397E-1,3.577560425E0,8.012088776E0,8.796924442E0
2.343982125E0,-9.937834167E-1,3.606300659E0,7.092700653E0,8.018691444E0
2.354020125E0,-1.173260193E0,3.702400818E0,6.397546234E0,7.484177250E0
2.364058125E0,-1.316661987E0,3.860322418E0,5.983656921E0,7.241535619E0
2.374096125E0,-1.372046814E0,4.115391998E0,5.821993103E0,7.260479836E0
2.384135125E0,-1.246607666E0,4.370461578E0,5.999972992E0,7.526927726E0
2.394173125E0,-1.008452911E0,4.583618317E0,6.427783356E0,7.958827364E0
2.404211125E0,-7.411088562E-1,4.704417114E0,6.993906097E0,8.461412720E0
2.414249125E0,-5.116360474E-1,4.799319763E0,7.473957825E0,8.896925716E0
2.424288125E0,-4.911286926E-1,4.868775330E0,7.772586823E0,9.184731162E0
2.434326125E0,-5.260061646E-1,4.855602722E0,7.865393829E0,9.258400530E0
2.444364125E0,-6.991960144E-1,4.787045288E0,7.768545227E0,9.151774287E0
2.454402125E0,-9.903405762E-1,4.733756104E0,7.543413391E0,8.960597463E0
2.464440125E0,-1.304237823E0,4.676125946E0,7.332651672E0,8.794030402E0
2.474479125E0,-1.569486237E0,4.630321198E0,7.245532837E0,8.740761267E0
2.484517125E0,-1.768871613E0,4.603227539E0,7.248227234E0,8.766721656E0
2.494555125E0,-1.895957336E0,4.576732635E0,7.381749573E0,8.889958526E0
2.504593125E0,-1.970352631E0,4.529131622E0,7.661218414E0,9.115349161E0
2.514632125E0,-1.976639557E0,4.499792633E0,8.047115936E0,9.429279536E0
2.524670125E0,-1.942809906E0,4.435725861E0,8.452173615E0,9.741119702E0
2.534708125E0,-1.908531189E0,4.446054382E0,8.916058960E0,1.014425937E1
2.544746125E0,-1.841470642E0,4.530628510E0,9.454339600E0,1.064434808E1
2.554784125E0,-1.667532349E0,4.644092560E0,9.941426697E0,1.109865868E1
2.564823458E0,-1.477427673E0,4.741839294E0,1.031804352E1,1.145119446E1
2.574861458E0,-1.356628876E0,4.838837585E0,1.050710037E1,1.164705754E1
2.584899458E0,-1.297501831E0,4.853656769E0,1.041953247E1,1.156754736E1
2.594937458E0,-1.302890625E0,4.799768829E0,1.009021729E1,1.124934619E1
2.604976458E0,-1.215622101E0,4.755910034E0,9.673932953E0,1.084810565E1
2.615014458E0,-1.111738129E0,4.747677155E0,9.303603058E0,1.050397210E1
2.625052458E0,-1.016236725E0,4.762346649E0,9.029073944E0,1.025850179E1
2.635090458E0,-8.818162537E-1,4.818330231E0,8.886570282E0,1.014716894E1
2.645129458E0,-7.089257812E-1,4.895270233E0,8.916657715E0,1.019671669E1
2.655167458E0,-5.975573730E-1,4.980892181E0,9.061406708E0,1.035738641E1
2.665205458E0,-5.520520020E-1,5.093458099E0,9.208101654E0,1.053741965E1
2.675243458E0,-4.260140991E-1,5.251080322E0,9.264683990E0,1.065784697E1
2.685281458E0,-2.957849121E-1,5.398523712E0,9.175170135E0,1.064966168E1
2.695320458E0,-2.032772827E-1,5.536985779E0,8.936416626E0,1.051470757E1
2.705358458E0,-1.386117554E-1,5.708079987E0,8.653654633E0,1.036759996E1
2.715396458E0,-1.425036621E-1,5.959257660E0,8.296048279E0,1.021555070E1
2.725434458E0,-7.095245361E-2,6.188431091E0,7.913743286E0,1.004634493E1
2.735473458E0,6.331832886E-2,6.396049347E0,7.554041290E0,9.898333005E0
2.745511458E0,2.215393066E-1,6.531966705E0,7.212301941E0,9.733086252E0
2.755549458E0,4.129911804E-1,6.470594330E0,7.050338745E0,9.578435630E0
2.765587458E0,5.396278381E-1,6.312822418E0,7.264243927E0,9.639095648E0
2.775626458E0,6.716532898E-1,5.986650696E0,7.971223755E0,9.991572091E0
2.785664458E0,7.725434875E-1,5.601351929E0,8.994795227E0,1.062442036E1
2.795702458E0,7.581733704E-1,5.289849701E0,1.020023849E1,1.151530295E1
2.805740458E0,6.304888916E-1,4.949906616E0,1.118010086E1,1.224311019E1
2.815778458E0,3.608995056E-1,4.532275085E0,1.169488037E1,1.254758912E1
2.825817458E0,-3.173400879E-2,4.155957642E0,1.163814835E1,1.235797264E1
2.835855458E0,-4.255650330E-1,3.889362030E0,1.106918152E1,1.174031610E1
2.845893458E0,-7.861651611E-1,3.769012299E0,1.017913239E1,1.088293368E1
2.855931458E0,-1.083297272E0,3.755540314E0,9.229058075E0,1.002263084E1
2.865970458E0,-1.289867706E0,3.844605103E0,8.363408203E0,9.294694393E0
2.876008458E0,-1.374741211E0,4.044289856E0,7.628885651E0,8.743345476E0
2.886046458E0,-1.352287903E0,4.309687958E0,7.104825439E0,8.419063926E0
2.896084458E0,-1.187031555E0,4.624932404E0,6.848857727E0,8.349005678E0
2.906122458E0,-9.002279663E-1,4.941673737E0,6.852450256E0,8.496271195E0
2.916161458E0,-5.548960876E-1,5.209466858E0,7.085515594E0,8.811979678E0
2.926199458E0,-1.477427673E-1,5.348677368E0,7.373067627E0,9.110011183E0
2.936237458E0,2.195933533E-1,5.401218109E0,7.685168610E0,9.395913732E0
2.946275458E0,5.532495117E-1,5.471571808E0,7.985294495E0,9.695829580E0
2.956314458E0,8.186476135E-1,5.504054260E0,8.258775787E0,9.958522718E0
2.966352458E0,9.852511597E-1,5.528004456E0,8.505313110E0,1.019165856E1
2.976390458E0,9.632469177E-1,5.442083130E0,8.710536346E0,1.031588856E1
2.986428458E0,7.077282715E-1,5.336702271E0,8.828491058E0,1.034038320E1
2.996466458E0,2.915936279E-1,5.194647675E0,8.864566040E0,1.027861481E1
3.006505458E0,-1.040336609E-1,5.028942261E0,8.766220551E0,1.010681483E1
3.016543458E0,-4.456233215E-1,4.885091400E0,8.483907623E0,9.799968709E0
3.026581458E0,-7.896080017E-1,4.875661011E0,8.039182434E0,9.435253324E0
3.036619458E0,-1.041085052E0,4.960085449E0,7.587122498E0,9.124183993E0
3.046658458E0,-1.120719452E0,5.045258331E0,7.145091705E0,8.818331996E0
3.056696458E0,-1.166823578E0,5.148992615E0,6.752607880E0,8.571541016E0
3.066734458E0,-1.123862915E0,5.250182190E0,6.451284485E0,8.393244449E0
3.076772458E0,-1.108444977E0,5.360951843E0,6.267317047E0,8.321521369E0
